 REG_CIS       NAZOV                                       JCM11         MNOZ
0              TELACIA SVIECKOVA                               0.0000    0.00
0000000022107  ⁄denÈ rebro                                     1.7250   -5.70
0000000022109  ⁄denÈ lahÙdkovÈ karÈ bez kosti                  5.7500  -26.90
000000009303   BravËov· dom·ca ˙den· klob·sa MIK               3.2263 1091.50
0000000093300  BravËov· tlaËenka MIK                           3.7500   31.25
0000000093302  Oökvarky                                        5.2500   58.95
0000000093305  Sekan· MIK                                      2.3875  149.65
0000000093306  Dusen· öunka MIK                                0.0000    0.00
0000000093307  äunkov· sal·ma MIK                              3.6000   78.20
0000000093322  ⁄den· slanina bez koûe                          1.2560  -78.95
0000000093323  Jaternice ryûovÈ                                3.7500  -19.05
0000000093330  Oravsk· slanina ˙den·                           0.0000    0.00
0000000095135  ToËen· sal·ma MIK                               3.0250  -35.04
0000000095160  BratislavskÈ p·rky MIK                          0.0000    0.00
0000000095176  äpekaËky MIK                                    2.6625    1.55
0000000095180  Kuracia öunka MIK                               3.8875   -7.05
0000000095184  ObyËajnÈ p·rky MIK                              2.6625   54.35
0000000095188  Litovsk· sal·ma MIK                             2.8000  112.55
0000000096142  Gazdovsk· slanina ˙den·                         0.0000    0.00
10             KRALIK CELY MRAZ.                               0.0000    0.00
111            SLIACSKA SALAMA                                 0.0000    0.00
123654         Kralicie stehno                                 0.0000    0.00
124            NITRAN 75G                                      0.0000    0.00
1245           Udene kare 100g                                 0.0000    0.00
12457          MURANSKA SALAMA                                 0.0000    0.00
124578         HOV.ZADNA 1/4                                   0.0000    0.00
124579         KURAC.ZALUDKY                                   0.0000    0.00
124580         ZABIJACKOVA KASA                                0.0000    0.00
124581         OSKVARKOVA NATIERKA 100g                        0.0000    0.00
12459          KUR.PRSIA V PACI VAK.BAL.                       0.0000    0.00
12461          TURISTICKA SALAMA 100g                          0.0000    0.00
1248           PEKELFIT40-60                                   0.0000    0.00
125            CHICKEN WIND -KRIDLA                            0.0000    0.00
126487         KURACIE STEHNA MRAZ.KALIBR.                     0.0000    0.00
1324           OSTRA KLOBASA                                   0.0000    0.00
13254          VYKOSTENE KOLENO                                0.0000    0.00
1326           ZBOJNICKA SAL.TMV                               0.0000    0.00
1345           SALAMA KRIVAN                                   0.0000    0.00
135487         KURACIE STEHNO VYKOSTENE MRAZENE VB             0.0000    0.00
1364           Dekora karÈ                                     0.0000    0.00
1369           OPAV.PAPRIKAS TMV                               0.0000    0.00
14             PRESPORSKA KLOBASA                              0.0000    0.00
14578          KUR.STEHNA KALIBR.CHLADENE                      0.0000    0.00
14679          RYCHLOSOL                                       0.0000    0.00
14752          Hov.drzky 10kg                                  0.0000    0.00
14756          SADLO                                           0.0000    0.00
1478           HOV.CREVA                                       0.0000    0.00
14789          JELENIE NA GULAS                                0.0000    0.00
15             Dekora stehno                                   0.0000    0.00
154789         PANGACIUS                                       0.0000    0.00
15479          JELENIE STEHNO                                  0.0000    0.00
1569           UHORSKA  KLOBASA                                0.0000    0.00
15874          PALIVEC SALAMA                                  0.0000    0.00
1648           KYSLA KAPUSTA                                   0.0000    0.00
1654           MIK-grill parky syrove                          0.0000    0.00
17             Grilovacie p·rky MIK                            0.0000    0.00
1774566        PASTETA KACACIA 200g MIK                        0.0000    0.00
1774567        MASO BRAV.NAKLADANE 250g                        0.0000    0.00
18             MASIROVANE KOLENO                               0.0000    0.00
19             TOKAJSKA                                        0.0000    0.00
1E+13          Zlava                                           0.0000    0.00
2              NITRAN SAL.                                     0.0000    0.00
20             RACIOL                                          0.0000    0.00
21106          HOV.ROSTENKA BYK MRAZENA                        0.0000    0.00
214            POR                                             0.0000    0.00
2187           KURACIE KRIDLA                                  0.0000    0.00
22101          UD.KOLENA ZADNE SSM                             0.0000    0.00
22104          UD.KOLENO PREDNE                                0.0000    0.00
22105          UDENE KARE S.K.                                 0.0000    0.00
22106          UDENY BR.BOK                                    0.0000    0.00
22112          HOV.SLABINA BYK                                 0.0000    0.00
22115          udene nohy                                      0.0000    0.00
222222         LIPTOVSKA 70g                                   0.0000    0.00
23             VAJCIA                                          0.0000    0.00
231            RALEX 75/55 CERVENY                             0.0000    0.00
23120          KUR.PEC.ZALUD,SRDCIA                            0.0000    0.00
23138          HOV.VYREZ BYK                                   0.0000    0.00
23139          SPIK.KOSTI                                      0.0000    0.00
2315           Vysocina 75g                                    0.0000    0.00
23154          HYDINOVA SUNKA 80g                              0.0000    0.00
23155          TLACENKA 100g                                   0.0000    0.00
23156          KURACIE KUSKY                                   0.0000    0.00
2316           PREPELICA                                       0.0000    0.00
23188          TELACIE STEHNO                                  0.0000    0.00
232352         BravËov· krkoviËka s.k.                         0.0000    0.00
232353         VYKOSTENA KRKOVICKA                             0.0000    0.00
232361         KOSTI Z KARE A KRKU                             0.0000    0.00
232364         RIEDKE KOSTI                                    0.0000    0.00
232366         REBIERKA NA GRIL                                0.0000    0.00
232367         plnena brav.svieckova                           0.0000    0.00
232374         HUSPENINOVY BALICEK                             0.0000    0.00
232375         KRKOVICKA MEXIKO                                0.0000    0.00
232380         HOV.VYS.ROST.B.K. BYK-HOV.KRK                   0.0000    0.00
232381         HOV. SLABINA BYK                                0.0000    0.00
232382         HOV.LYTKO BYK-MOCING                            0.0000    0.00
232383         HOV.GULASOVE MASO                               0.0000    0.00
232384         HOV.PREDNE REBRO BYK                            0.0000    0.00
232385         HOV.ZADNE B.K.                                  0.0000    0.00
232386         HOV.PLECE                                       0.0000    0.00
232387         HOV.FALOSNA SVIECKOVA                           0.0000    0.00
232388         Hov.falosna svieckova predna                    0.0000    0.00
