 REG_CIS       NAZOV                                       JCM11         MNOZ
 0000000023112 BR.KARE                                    3.7500     258.6960
 0000000023122 BR.PLECE B.K.                              3.4500     299.7020
 0000000023116 BR.BOK                                     3.1500     -38.1480
 0000000023118 BR.KOLENO ZADNE                            2.2000     235.2560
 0000000083112 BR.NOHY                                    0.1000     155.0000
 0000000023119 BR.CHVOST S KRIZ.KOST.                     0.6000     -59.3500
 0000000023117 BR.HLAVA CHLADENA                          0.8000      -0.1000
 0000000023123 BR.LALOK CHLADENY                          1.9000      -9.8000
 0000000081101 HOV. PECEN Z BYKA                          0.5000      21.3000
 0000000083101 BR. PECEN MRAZENA                          0.8000     161.7500
 0000000083114 BR. KOZE                                   0.3000      86.5720
 0000000083105 BR. LADVINY                                0.6000      22.6500
 0000000093302 OSKVARKY                                   4.2000      58.9500
 0000000095102 RIEDKE KOSTI                               0.0600      48.7060
 0000000093300 TLACENKA MIK VMV                           3.0000      31.2500
 0000000093303 BRAV.DOMACA UDENA KLOBASA MIK OMV          3.5700    -649.0500
 0000000023113 BR.KRK                                     3.7500      41.4290
 0000000095184 OBYCAJNE PARKY MMV                         2.1300      54.3500
 0000000095159 MORCACIE PRSIA                             7.5500       0.0060
 0000000093307 SUNKOVA SALAMA MIK MMV                     2.8800      78.2000
 0000000093306 DUSENA SUNKA MIK VMV/O                     3.5000    -756.5600
 0000000093322 UD.SLANINA BEZ KOZE                        2.4200     -78.9500
 0000000093323 JATERNICE RYZOVE VMV                       3.0000     -19.0500
 0000000023121 BR.STEHNO B.K.-ORECH                       3.6000       2.7500
 8588004863019 BR.CREVA 25m                               2.3000     115.0000
 0000000023187 BRAV.KARE B.KOSTI                          4.2500     231.9500
 0000000093330 ORAVSKA SLANINA TOSM                       3.9700    -201.7000
 0000000022107 UDENE REBRO TOSM                           1.3800      -5.7000
 0000000022109 UD.LAHODKOVE KARE B.K.                     4.6000     -26.9000
 0000000023114 BR.VYKOST.KRKOVICKA                        4.2500     182.2000
 0000000061102 Bra.slanina                                1.1500     -32.0000
 0000000095160 BRAT. PARKY MMV                            2.5000    -114.7000
 0000000095105  /VNUT./                                   0.3529     145.0000
 0000000037112 HOV. LOJ                                   0.2500      19.5500
 0000000023128 BR.ZREZANE REBRA                           1.4000      25.4100
 0000000095176 SPEKACKY MMV                               2.1300       1.5500
 0000000095178 KURACIE PECIENKY                           1.0900     139.3540
 0000000095180 KURACIA SUNKA MIK MMV                      3.1100      -7.0500
 0000000095188 Litovska salama MMV                        2.2400     112.5500
 0000000095194 Sliepky mrazene                            2.2200     158.1900
 0000000095195 BR.SVIECKOVA Z KARE                        6.0000     171.3800
 0000000095199 KURACIE PRSIA MRAZENE                      4.7100     456.9570
 0000000096142 GAZDOVSKA UD. SLAN.SSM                     4.1400    -438.3000
 0000000096143 SLANINA GAZD. SUR.                         3.2500      32.6500
 0000000096144 BRAV. BOK BEZ KOSTI                        3.4500      80.2500
 0000000023115 BR.STEHNO CELE                             3.5500     258.9640
 0000000095128 HOVADZIA ROSTENKA                          9.5000     -18.4320
 0000000093305 SEKANA MIK PMV                             1.9100     149.6500
 0000000095227 HOV. SLABINA BYK                           5.2500       0.9040
 0000000095135 TOCENA SALAMA MIK MMV                      2.4200     -35.0400
 0000000095136 KURACIE PRSIA CHLADENE                     4.9000    1141.6810
 0000000095192 KURACIA POL. ZMES                          1.0000      32.7220
 0000000095243 HOV.VYS.ROST.B.K. BYK-HOV.KRK              5.5000      96.1560
 0000000095145 KURENCE MRAZ.                              2.3500     497.9000
 0000000095273 HOV.SVIECKOVA BYK                         18.0000      23.8300
 0000000095292 UDENE KOSTI,REBRA TOSM                     1.1500     -15.2500
 0000000095348 BR.SRDCE                                   0.9500      28.7500
 0000000095353 HOV.FALOSNA SVIECKOVA                      9.0000       6.6400
 0000000095354 HOV.HARFY BYK                              0.8000       0.2500
 0000000021101 HOV.ZADNE B.K.                             9.3000    1020.1600
 0000000021102 HOV.LYTKO BYK-MOCING                       6.3500      14.4500
 0000000021103 HOV.PREDNE REBRO BYK                       6.7400      46.5340
 0000000023139 SPIKOVE KOSTI                              1.3500      65.6000
 0000000000026 HOV.PLECE                                  9.3700      91.6680
 0000000000035 KRVAVNICKY                                 4.9500     -13.4500
 0000000095100 LUNCHMEAT mmv                              2.3100       2.3500
 0000000023101 BRAV. LICKA MRAZ.                          2.5000      14.8000
 0000000095115 UDENA KRKOVICKA B.K.TOSM                   3.5000    -118.7000
 0000000021106 HOV.ROSTENKA BYK MRAZENA                  11.2600     189.1950
 8588005238069 SKVAR.BRAV.MAST 500g                       1.5000     -23.0000
 0000000093304 HYD.TLACENKA                               3.6400       2.5000
 0000000023104 BRAV.PLECE BK MRAZENE                      2.8500    -260.8470
 0000000023300 HUS MRAZ.                                  2.6000      32.0000
 0000000093332 CINGOVSKA SAL.                             3.5000     -28.6000
 0000000023333 BR.KARE BEZ KOSTI MRAZENE                  3.2500     -62.7000
 0000000093337 BRAV.OREZ MRAZ.                            2.5500     112.0000
 0000000093327 HYDINOVA SEKANA MIK                        1.6000     -35.8100
 0000000000012 BRAV.JAZYK                                 1.3600     130.8500
 0000000093340 VIEDENSKE PARKY                            3.0400      62.4000
 0000000093341 SPICKE PARKY                               3.0400      17.2500
 0000000000041 BRAV.OREZ                                  2.5500     146.0000
 0000000093342 SALIANSKA KLOBASA MMV                      3.9100     -31.0000
 0000000009326 BR.USI                                     0.6000      17.5000
 0000000003269 BRAV.STEHNO B.K.MRAZ.                      3.0000    -155.9500
 0000000006329 FILE 150G MR.                              4.0200     348.0000
 0000000002563 KACICA MRAZ.                               3.1900      59.5000
 0000000002372 CHORIZZO KLOBASA OMV                       3.9100     -45.4000
 0000000002373 PECENOVY SYR                               1.7000      -5.3000
 0000000002375 MORCACIA SUNKA MMV                         2.7000     -16.7500
 0000000003369 BROKOLICA                                  2.5560      27.5000
 0000000000363 KUR.STEHIENKA                              2.5200      50.0000
 0000000000323 TEKVICA MRAZENA                            1.9496      10.0000
 0000000000324 BABY KAROTIENKA                            1.4600      30.0000
 0000000002573 KEL MRAZ.                                  1.3800      60.0000
 0000000083115 PSTRUH MRAZENY                             5.4200     165.0000
 0000000000233 ZEL.ZMES POD SVIECKOVU                     1.2800      20.0000
 0000000000008 KOSTI Z KARE A KRKU                        1.4000      54.6140
 0000000000002 NITRAN SAL.                                6.2900       3.4000
 0000000000036 KACACIE STEHNO                             5.5600     133.9000
 0000000000023 VAJCIA                                     0.2101     420.0000
 0000000006987 DEBRECINSKA SUNKA                          3.5000     -29.9000
 0000000000987 MALOKARPATSKA                              5.7400      48.4200
 0000000001478 HOV.CREVA                                  0.6600     -81.0000
 0000000004796 POLIEVK. ZELEN. ZMES                       1.2100      40.0000
 0000000003625 KURACIE SRDCIA                             2.4300      10.5000
 0000000015479 JELENIE STEHNO                            12.5901      -1.3700
 0000000032658 DIVIAK STEHNO                             11.9000      16.1200
 0000000126487 KURACIE STEHNA MRAZ.KALIBR.                2.6500     844.3500
 0000000014578 KUR.STEHNA KALIBR.CHLADENE                 2.6500     -30.4500
 0000000135487 KURACIE STEHNO VYKOSTENE MRAZENE VB        3.5300     125.1500
 0000000065987 POHRONSKA KLOBASA                          2.8200     -11.1500
 0000000036574 HYDINOVE PARKY                             2.0000    -186.6500
 0000000002187 KURACIE KRIDLA                             2.0100      77.1000
 0000003694785 OSKVARKY CELE                              4.2000      -2.3000
 0000000031548 MASOVE REBRA UDENE                         2.0000     -25.8500
 0000000026487 HRUBA KLOBASA MIK                          4.0000      -4.7000
 0000000326574 plnena brav.svieckova                      3.5000     -10.4500
 0000000326547 husacia pecen                             40.0000       2.4000
 0000000365491 PANGASIUS 5%                               2.8992      15.0000
 0000000031651 SPENAT                                     1.2400      42.5000
 0000000036147 HRASOK                                     2.1160      10.0000
 0000000003615 KURACIE TRUPY                CHLAD         0.7300      -9.0000
 0000000061248 KURACIE STVRTE ZADNE                       1.6800     190.0000
 0000000003660 HYDINOVE CIGARO                            1.5000     -21.1000
 0000000003620 BRAV.MAST                                  2.2500     105.5000
 0000000003621 INOVEC MIK                                 3.1600     -12.1000
 0000000032659 TURISTA MIK                                3.1600     -61.7000
 8588005238021 NAKLADANE BRAVCOVE MASO 500g               2.5000     -38.0000
 0000000003699 SUNKOVA SAL.PORCOVANA BZL 100g             0.2800    -685.0000
 8588005238014 DOMACA PECENOVA PASTEKA                    0.8500      83.0000
 0000000023127 BR.PECEN                                   0.8000      40.2760
 8588005238007 HRIANKA-NATIERKA MIK                       0.9000     389.0000
 0000000003165 BRAV.MAST 1KG                              2.7500      -5.0000
 0000000032660 OSKVARKY MLETE                             2.5900     -30.3000
 8588005238038 BOCIKOVA NATIERKA                          0.9000      54.0000
 0000000000234 HOV.ZADNE MRAZENE                          9.2900     107.6170
 0000000000147 HUSPENINOVY BALICEK                        1.4000    -366.5410
 0000000000031 HOV.PLECE MRAZENE                          6.7800    -117.1000
 0000000000221 UDENE KOLENO ZADNE                         2.7400    -506.1000
 0000000036156 PRINC                                      6.2900       9.1900
 0000000000361 BRAV.KRK b.k. MRAZENY                      2.4400     135.7530
 0000000000357 PARIZER MIK                                1.6590      -0.9600
 0000000012461 TURISTICKA SALAMA 100g                     0.2500    -300.0000
 0000000003661 TELACIE PLECE MRAZ.                        5.2900      28.3620
 0000000003637 BRAV.BOK MRAZENY                           2.0000     -50.4000
 0000000003664 BR.SVIECKOVA Z KARE MRAZENA                7.1000      36.0100
 0000000003666 KUKURICA MRAZENA                           1.3600      57.5000
 0000000003640 Telacie stehno                            11.1000      28.1300
 0000000362147 Hov.falosna mrazena                        9.7600      33.4000
 0000000036526 Morcacie prsia                             7.5700      -0.0020
 0000000003274 Majka 48g                                  0.6050     101.0000
 0000000358749 Morcacie stehna horne b.k mraz             5.4900     449.0400
 0000000036528 Hydinova jemna salama                      1.5000      -3.3100
 8588005238472 Kacacia pasteta 200g MIK                   1.0000     136.0000
 8588005238441 Nakladane bravcove maso 250g               1.0600      82.0000
 0000000003676 HOV.SVIECKOVA MRAZ.                       30.0000       5.6000
 0000000003677 Kacacie prsia                              6.9100     196.2500
 0000000003679 Dusena sunka 80g                           0.3000     -10.0000
 0000000123654 Kralicie stehno                            5.1800      20.0000
 0000000023569 VYKOST.KURACIE STEHNA                      3.6500     -13.5000
 0000000006954 Ryba Tilapia                               3.8900     106.0000
 0000000036529 Lesna zmes                                 2.1300      50.0000
 0000000065984 LOSOS FILETY S KOZOU                       8.0800     100.0000
 0000000003683 HOVADZIA PECEN MRAZENA                     0.4000      62.0000
 0000000003684 FILETY ALJASSKA TRESKA                     2.9500      -2.0000
 0000000000034 BEZGLUT.CHLIEB KRAJ.4*500g                 4.7800      40.0000
 0000000003275 FAZULA CELA LUSKY                          1.2900      10.0000
 0000000003687 SAMPIONY KRAJANE MRAZ.                     1.2900      80.0000
 0000000003688 CINSKA ZMES                                1.2500      20.0000
 0000000006324 BRETANSKA ZMES                             1.3800      55.0000
 0000000003219 LOSOS                                     12.1600      46.0000
 0000000036251 MRAZENE HOKAIDO                            1.2600      30.0000
 0000000003690 PETRZLENOVA VNAT                           2.8000       5.0000
 0000000003691 FRANCUZSKA ZELENINA                        1.2600      50.0000
 0000000003692 HYDINOVE MLETE MASO MRAZENE                0.5500     984.8000
 0000000003694 SURIMI TYCINKY                             2.8500      30.0000
 0000000003702 SUNKOVA PENA                               0.3990    -203.0000
 0000000003277 HYDINOVA NATIERKA                          0.2500     -43.0000
 0000000000377 HYDINOVA JEMNA SALAMA 100g                 0.2000      -7.0000
 0000000003707 DUSENA SUNKA -PORCOVANA                    3.5000     -15.0000
 0000000036260 RYBIE PRSTY                                1.2017     378.0000
 0000000003280 HRIANKA NATIERKA                           0.3000    -350.0000
 0000000023654 BARANIE STEHNO                            12.6000      -9.2800
 0000000000378 AMERICKE ZEMIAKY                           1.6500      55.0000
 0000000003220 HRANOLKY                                   1.5800      60.0000
 0000000003221 HYDINOVY PARIZER                           2.5000     -60.2000
 0000000003713 BRATISLAVSKA HYDINOVA SALAMA               1.7000     -67.8000
 0000000000381 HUSACIA PECEN VYKRMENA                    45.0000      -9.9900
 0000000003714 KACACIA MAST                               3.5000      -2.0000
 0000000000327 CABAJSKA KLOBASA                          14.3000     -10.2500
 0000000003125 BRAV.LICKA                                 3.5500      17.7500
 0000000003293 ZELEN.ZMES-LECO                            1.1400      20.0000
 0000000003294 MAHI-MAHI FILETY                           6.3000       5.0000
 0000000003299 MAJKA 75g                                  0.4202     220.0000
 0000000000200 ZUBAC                                      9.3100      17.0500
 0000000000382 HOKI FILETY                                6.8900      -0.2000
 0000005686456 SUMEC                                      4.9000      10.0000
 0000000000330 MRKVA KOCKY                                1.2000      15.0000
 0000000000038 RIEDKE KOSTI MRAZENE                       0.0600      -6.6000
